date,channel,campaign,audience,campaign_type,target_market,startup_stage,industry,message_variant,landing_page_variant,impressions,clicks,spend,landing_page_visits,leads,qualified_leads,quote_starts,quotes_completed,policies_bound,premium,cpc,ctr,lp_conversion_rate,qual_rate,cpl,cpql,cac,roas,day_of_week,is_weekend,experiment_id,variant_role,notes,data_source
2026-06-01,Google Search,C-GGL-ENT,ai_founders,prospecting,SF Bay,seed,ai_saas,enterprise,enterprise_ready,333,15,156.72,10,2,2,0,0,0,0.0,10.45,0.045,0.2,1.0,78.36,78.36,,0.0,0,False,ent_vs_gen_ggl,treatment,,synthetic
2026-06-01,Google Search,C-GGL-GEN,saas_founders,prospecting,Remote,pre_seed,ai_saas,generic,generic,255,17,144.66,14,1,1,0,0,0,0.0,8.51,0.0667,0.0714,1.0,144.66,144.66,,0.0,0,False,ent_vs_gen_ggl,control,,synthetic
2026-06-01,LinkedIn,C-LNK-ENT,ai_founders,prospecting,NYC,seed,ai_saas,enterprise,enterprise_ready,2469,16,137.97,12,0,0,0,0,0,0.0,8.62,0.0065,0.0,0.0,,,,0.0,0,False,,,,synthetic
2026-06-01,LinkedIn,C-LNK-FND,startup_operators,prospecting,Remote,seed,fintech,fundraising,enterprise_ready,1333,8,63.48,7,2,0,0,0,0,0.0,7.93,0.006,0.2857,0.0,31.74,,,0.0,0,False,,,,synthetic
2026-06-01,Meta,C-MTA-GEN,ai_founders,prospecting,Remote,pre_seed,ai_infra,generic,generic,1812,25,102.78,23,1,0,0,0,0,0.0,4.11,0.0138,0.0435,0.0,102.78,,,0.0,0,False,,,,synthetic
2026-06-01,Meta,C-MTA-AI,saas_founders,prospecting,Remote,pre_seed,ai_saas,enterprise,ai_focused,1111,13,57.07,10,0,0,0,0,0,0.0,4.39,0.0117,0.0,0.0,,,,0.0,0,False,,,,synthetic
2026-06-01,Meta,C-MTA-RET,retargeting,retargeting,Remote,seed,ai_saas,enterprise,enterprise_ready,119,4,11.51,4,1,1,0,0,0,0.0,2.88,0.0336,0.25,1.0,11.51,11.51,,0.0,0,False,,,,synthetic
2026-06-01,Google Search,C-GGL-RET,retargeting,retargeting,Remote,seed,ai_saas,generic,generic,285,9,52.3,7,1,1,1,0,0,0.0,5.81,0.0316,0.1429,1.0,52.3,52.3,,0.0,0,False,,,,synthetic
2026-06-02,Google Search,C-GGL-ENT,ai_founders,prospecting,SF Bay,seed,ai_saas,enterprise,enterprise_ready,289,13,145.35,10,2,1,1,1,0,0.0,11.18,0.045,0.2,0.5,72.67,145.35,,0.0,1,False,ent_vs_gen_ggl,treatment,,synthetic
2026-06-02,Google Search,C-GGL-GEN,saas_founders,prospecting,Remote,pre_seed,ai_saas,generic,generic,240,16,142.86,12,3,1,0,0,0,0.0,8.93,0.0667,0.25,0.3333,47.62,142.86,,0.0,1,False,ent_vs_gen_ggl,control,,synthetic
